name,price,No_of_rating,rating,description,category
"Scotch 3M Scotch Extreme Double Sided Tape, 1M Holds 6.7Kg, Works On Uneven Surfaces, Weather Resistant, Works On Indoor, Outdoor, Auto Interior Surfaces",₹225.00,"3,904",N/A,"Scotch 3M Scotch Extreme Double Sided Tape, 1M Holds 6.7Kg, Works On Uneven Surfaces, Weather Resistant, Works On Indoor, Outdoor, Auto Interior Surfaces",Office
Casio FX-991ES Plus-2nd Edition Scientific Calculator,"₹1,394.00","10,756",N/A,Casio FX-991ES Plus-2nd Edition Scientific Calculator,Office
"Scotch Double Sided Tape by 3M (1m holds 4.5Kgs) for indoor hanging applications (Photo frames, Mirrors, Key Holders, Car Interiors, Extension Boards, Wall decoration, etc)(L: 3m, W: 24mm), grey",₹180.00,"22,155",N/A,"Scotch Double Sided Tape by 3M (1m holds 4.5Kgs) for indoor hanging applications (Photo frames, Mirrors, Key Holders, Car Interiors, Extension Boards, Wall decoration, etc)(L: 3m, W: 24mm), grey",Office
"FLAIR Pastel 5 Shades Hi-lighter Pouch Pack | Flexible Line Width | Quick Drying & Smudge Proof Pastel Ink | Non-Toxic Ink, Safe For Childrens | 5 Smoothing Colors, Pack of 1",₹125.00,964,N/A,"FLAIR Pastel 5 Shades Hi-lighter Pouch Pack | Flexible Line Width | Quick Drying & Smudge Proof Pastel Ink | Non-Toxic Ink, Safe For Childrens | 5 Smoothing Colors, Pack of 1",Office
"Reynolds AEROSLIM Ball Pen SET - 25 PENS (15 BLUE, 5 Black, 5 Red) | PENS WITH COMFORTABLE GRIP |BALL PENS FOR WRITING | PEN FOR STUDENTS & OFFICE STATIONERY | 0.7 mm TIP SIZE",₹119.00,"8,314",N/A,"Reynolds AEROSLIM Ball Pen SET - 25 PENS (15 BLUE, 5 Black, 5 Red) | PENS WITH COMFORTABLE GRIP |BALL PENS FOR WRITING | PEN FOR STUDENTS & OFFICE STATIONERY | 0.7 mm TIP SIZE",Office
Casio MJ-12D 150 Steps Check and Correct Desktop Calculator,₹440.00,"12,040",N/A,Casio MJ-12D 150 Steps Check and Correct Desktop Calculator,Office
"Solimo Expanding File Folder with 13 Pockets, Handle, and Buckle Closure, for A4 Size Documents (Grey)",₹299.00,"1,323",N/A,"Solimo Expanding File Folder with 13 Pockets, Handle, and Buckle Closure, for A4 Size Documents (Grey)",Office
Casio FX-991CW Classwiz Non-Programmable Scientific Calculator,"₹1,545.00","15,663",N/A,Casio FX-991CW Classwiz Non-Programmable Scientific Calculator,Office
Pentonic 0.7 mm Ball Pen Blister Pack | Black Body | Blue Ink | Set of 10 Pens,₹120.00,"18,630",N/A,Pentonic 0.7 mm Ball Pen Blister Pack | Black Body | Blue Ink | Set of 10 Pens,Office
"FLAIR Move Gel Pen | Minimalistic & Aesthetic Matt Finish Pastel Body Colors | Effortless Writing With Sleek Clip Design | Blue Ink, Set Of 10",₹100.00,63,N/A,"FLAIR Move Gel Pen | Minimalistic & Aesthetic Matt Finish Pastel Body Colors | Effortless Writing With Sleek Clip Design | Blue Ink, Set Of 10",Office
Cello Whitemate Whiteboard BoldMarkers | Set of 6 | Assorted Ink Colours | Whiteboard Marker with Easily Erasable Ink | Refillable Whiteboard Markers Markers,₹149.00,"10,609",N/A,Cello Whitemate Whiteboard BoldMarkers | Set of 6 | Assorted Ink Colours | Whiteboard Marker with Easily Erasable Ink | Refillable Whiteboard Markers Markers,Office
Shuttle Art 6 Pcs Aesthetic Cute Highlighters Bible Highlighters,₹189.00,"1,098",N/A,Shuttle Art 6 Pcs Aesthetic Cute Highlighters Bible Highlighters,Office
"Unity Brand 3 Meter Multipurpose Double Sided Tape Heavy Duty - Adhesive Silicone Tape, Heat Resistant, Multi-Functional, Removable, Washable, Reusable Anti-Slip Gel Nano Grip Tape (1 PACK)",₹239.00,146,N/A,"Unity Brand 3 Meter Multipurpose Double Sided Tape Heavy Duty - Adhesive Silicone Tape, Heat Resistant, Multi-Functional, Removable, Washable, Reusable Anti-Slip Gel Nano Grip Tape (1 PACK)",Office
"Kadam Fabric Dye Multicolour Combo (C1: Vivid- Lemon Yellow, Orange, Red, Violet, Blue, Sky Blue, Brown, Parrot Green, Baby Pink, Teal Green)",₹299.00,"2,214",N/A,"Kadam Fabric Dye Multicolour Combo (C1: Vivid- Lemon Yellow, Orange, Red, Violet, Blue, Sky Blue, Brown, Parrot Green, Baby Pink, Teal Green)",Office
"Scotch 3M Scotch Scissors | 6"" Multipurpose | Comfort Grip Handle And Stainless Steel Blades | Paper, Photos, Crafts",₹224.00,"5,787",N/A,"Scotch 3M Scotch Scissors | 6"" Multipurpose | Comfort Grip Handle And Stainless Steel Blades | Paper, Photos, Crafts",Office
"Eclet Nano Double Sided Tape, Multipurpose Super Sticky Gel Grip Mounting Tape, Washable, Reusable, No Residue, for Home & Office, 2mm Thick, 1.2 Inch Wide, Transparent (3 mtrs)",₹115.00,550,N/A,"Eclet Nano Double Sided Tape, Multipurpose Super Sticky Gel Grip Mounting Tape, Washable, Reusable, No Residue, for Home & Office, 2mm Thick, 1.2 Inch Wide, Transparent (3 mtrs)",Office
"Grandink Portable Lightweight Tripod Easel for Professional Artists, Metal Display Easel Stand with Adjustable Height for Painting, Display and Advertisement Purposes - 5FT(Holds Canvas up to 1 kg)",₹599.00,"1,279",N/A,"Grandink Portable Lightweight Tripod Easel for Professional Artists, Metal Display Easel Stand with Adjustable Height for Painting, Display and Advertisement Purposes - 5FT(Holds Canvas up to 1 kg)",Office
"Amazon Basics - Cable Management Box with Mobile Stand - Power Strip, Cords, Wires | Surge Protector Hiding Cover Organizer for Home, Office (White)",₹399.00,293,N/A,"Amazon Basics - Cable Management Box with Mobile Stand - Power Strip, Cords, Wires | Surge Protector Hiding Cover Organizer for Home, Office (White)",Office
"LAURET BLANC Notebook Journal - A5 Size, 144 Ruled Pages, 90 GSM Natural Shade, Paperback",₹189.00,"1,847",N/A,"LAURET BLANC Notebook Journal - A5 Size, 144 Ruled Pages, 90 GSM Natural Shade, Paperback",Office
"Casio FX-82MS 2nd Gen Non-Programmable Scientific Calculator, 240 Functions and 2-line Display",₹599.00,"11,339",N/A,"Casio FX-82MS 2nd Gen Non-Programmable Scientific Calculator, 240 Functions and 2-line Display",Office
Pentonic 0.6 mm-1.0 mm Gel Pen Blister Pack With Hard Box Case | Black Body | Multicolor Ink | Set of 10 Pens,₹150.00,"6,165",N/A,Pentonic 0.6 mm-1.0 mm Gel Pen Blister Pack With Hard Box Case | Black Body | Multicolor Ink | Set of 10 Pens,Office
Classmate Pulse Single Subject Spiral Notebook - Pack of 4 | Unruled | 200 Pages | 24.0cm x 18.0cm | Attractive Cover Designs | Soft Cover |Notebooks for College Students,₹294.00,"1,475",N/A,Classmate Pulse Single Subject Spiral Notebook - Pack of 4 | Unruled | 200 Pages | 24.0cm x 18.0cm | Attractive Cover Designs | Soft Cover |Notebooks for College Students,Office
"SNDIA 50 Pcs Key Tag Multicolor Keyring & Keychain With Name Tag Labels Assorted Keychain With Two Side Id Label And Split Ring For Office, Home Key -Plastic",₹199.00,"7,821",N/A,"SNDIA 50 Pcs Key Tag Multicolor Keyring & Keychain With Name Tag Labels Assorted Keychain With Two Side Id Label And Split Ring For Office, Home Key -Plastic",Office
COI Note Pad/Memo Book with Sticky Notes & Clip Holder with Pen for Gifting,₹199.00,"12,493",N/A,COI Note Pad/Memo Book with Sticky Notes & Clip Holder with Pen for Gifting,Office
Cello Finegrip Ball Pen | Blue Ball Pens | Jar of 25 Units | Best Ball Pens for Smooth Writing | Ball Point Pen Set | Pens for Students and Professionals Stationery,₹142.00,"22,017",N/A,Cello Finegrip Ball Pen | Blue Ball Pens | Jar of 25 Units | Best Ball Pens for Smooth Writing | Ball Point Pen Set | Pens for Students and Professionals Stationery,Office
"BRUSTRO White Gel Pen | Tip size -1 mm|Pack of 3 | Ideal for Students and Adults, Drawing, Mandala Arts, Students, Office Use, Writing, Pen Set",₹143.00,"1,059",N/A,"BRUSTRO White Gel Pen | Tip size -1 mm|Pack of 3 | Ideal for Students and Adults, Drawing, Mandala Arts, Students, Office Use, Writing, Pen Set",Office
Flair Hauser XO Multicolor Gel Pen with Hard Box Case | Sleek Body & Minimalistic Design | Matt Finish | Ultra Durable Tip | Set Of 12 Bright Ink Colors,₹150.00,769,N/A,Flair Hauser XO Multicolor Gel Pen with Hard Box Case | Sleek Body & Minimalistic Design | Matt Finish | Ultra Durable Tip | Set Of 12 Bright Ink Colors,Office
"Birch & Co. Gift Wrapping Paper Sheet - Gift Paper - Gift Wrap Roll -Gift Cover Rapping Paper - Gift Packing Materials - Premium Design Paper sheet for Gift Packing, Mix, Pack of 6, Multicolor",₹251.00,"1,079",N/A,"Birch & Co. Gift Wrapping Paper Sheet - Gift Paper - Gift Wrap Roll -Gift Cover Rapping Paper - Gift Packing Materials - Premium Design Paper sheet for Gift Packing, Mix, Pack of 6, Multicolor",Office
"Hauser XO 0.7mm Ball Pen Tumbler | Sleek Body & Minimalistic Design | Matt Finish & Solid Body Type | Low Viscosity Ink with Ultra Durable Tip | Blue, Black & Red Ink, Pack of 50 Pens",₹399.00,"7,229",N/A,"Hauser XO 0.7mm Ball Pen Tumbler | Sleek Body & Minimalistic Design | Matt Finish & Solid Body Type | Low Viscosity Ink with Ultra Durable Tip | Blue, Black & Red Ink, Pack of 50 Pens",Office
"Cetaphil Face Wash Gentle Skin Cleanser for Dry to Normal, Sensitive Skin, 125 ml Hydrating Face Wash with Niacinamide, Vitamin B5",₹359.00,"2,468",N/A,"Cetaphil Face Wash Gentle Skin Cleanser for Dry to Normal, Sensitive Skin, 125 ml Hydrating Face Wash with Niacinamide, Vitamin B5",Beauty
"The Derma Co 1% Hyaluronic Sunscreen SPF 50 Aqua Gel, PA++++, Lightweight, No white-cast for Broad Spectrum & Blue Light Protection for Oily, Dry, Acne-prone Skin - 30g",₹268.00,"23,605",N/A,"The Derma Co 1% Hyaluronic Sunscreen SPF 50 Aqua Gel, PA++++, Lightweight, No white-cast for Broad Spectrum & Blue Light Protection for Oily, Dry, Acne-prone Skin - 30g",Beauty
"Dettol Original Germ Protection Bathing Soap Bar (400gm) | Kills 99.99% germs, 100g - Pack of 4",₹130.00,"21,479",N/A,"Dettol Original Germ Protection Bathing Soap Bar (400gm) | Kills 99.99% germs, 100g - Pack of 4",Beauty
"L'Oreal Paris Moisture Sealing Conditioner, With Hyaluronic Acid, For Dry & Dehydrated Hair, Adds Hydration, Shine & Bounce, Hyaluron Moisture 72H, 180ml",₹242.00,"1,335",N/A,"L'Oreal Paris Moisture Sealing Conditioner, With Hyaluronic Acid, For Dry & Dehydrated Hair, Adds Hydration, Shine & Bounce, Hyaluron Moisture 72H, 180ml",Beauty
"L'Oreal Paris Serum, Protection and Shine, For Dry, Flyaway & Frizzy Hair, With 6 Rare Flower Oils, Extraordinary Oil, 100ml",₹389.00,"10,860",N/A,"L'Oreal Paris Serum, Protection and Shine, For Dry, Flyaway & Frizzy Hair, With 6 Rare Flower Oils, Extraordinary Oil, 100ml",Beauty
"Khadi Natural Amla & Bhringraj Shampoo/Cleanser for Controlling Dandruff & Hair fall | Shampoo for Reducing Scalp Irritation | Paraben & Sulphate-Free | Suitable for All Hair Types, 210ml",₹139.00,"33,930",N/A,"Khadi Natural Amla & Bhringraj Shampoo/Cleanser for Controlling Dandruff & Hair fall | Shampoo for Reducing Scalp Irritation | Paraben & Sulphate-Free | Suitable for All Hair Types, 210ml",Beauty
"L'Oreal Paris Moisture Filling Shampoo With Hyaluronic Acid | For Dry & Dehydrated Hair, Adds Shine & Bounce, Hyaluron Moisture 72H, 340ml | L'Oreal Paris",₹257.00,"33,507",N/A,"L'Oreal Paris Moisture Filling Shampoo With Hyaluronic Acid | For Dry & Dehydrated Hair, Adds Shine & Bounce, Hyaluron Moisture 72H, 340ml | L'Oreal Paris",Beauty
Dettol Liquid Handwash Refill - Original Hand Wash- 1350ml | Germ Defence Formula | 10x Better Germ Protection,₹182.00,"8,496",N/A,Dettol Liquid Handwash Refill - Original Hand Wash- 1350ml | Germ Defence Formula | 10x Better Germ Protection,Beauty
"Simple Kind To Skin Refreshing Face Wash 150 ml | 100% soap-free gentle cleanser for sensitive, dry & oily skin, for women & men",₹340.00,"81,765",N/A,"Simple Kind To Skin Refreshing Face Wash 150 ml | 100% soap-free gentle cleanser for sensitive, dry & oily skin, for women & men",Beauty
NIVEA Nourishing Body Milk 600ml Body Lotion | 48 H Moisturization | With 2X Almond Oil | Smooth and Healthy Looking Skin |For Very Dry Skin,₹405.42,"19,820",N/A,NIVEA Nourishing Body Milk 600ml Body Lotion | 48 H Moisturization | With 2X Almond Oil | Smooth and Healthy Looking Skin |For Very Dry Skin,Beauty
Alps Goodness Rosemary Water Spray For Hair Growth (200 ml) | Hair Spray for Regrowth | Rosemary Hair Mist | Adds Shine | Helps Reduce Hairfall | Strengthens Hair | Suitable For All Hair Types,₹285.00,"51,360",N/A,Alps Goodness Rosemary Water Spray For Hair Growth (200 ml) | Hair Spray for Regrowth | Rosemary Hair Mist | Adds Shine | Helps Reduce Hairfall | Strengthens Hair | Suitable For All Hair Types,Beauty
"WishCare Hair Growth Serum Concentrate - Rosemary, 3% Redensyl, 4% Anagain, 2% Baicapil, Caffeine, Biotin, Plant Keratin & Rice Water - Hair Growth Serum for Men & Women",₹681.00,"1,424",N/A,"WishCare Hair Growth Serum Concentrate - Rosemary, 3% Redensyl, 4% Anagain, 2% Baicapil, Caffeine, Biotin, Plant Keratin & Rice Water - Hair Growth Serum for Men & Women",Beauty
"NIVEA Soft Light Moisturizer, 300 ml, for Face, Hand & Body, Non-Greasy Cream with Vitamin E & Jojoba Oil for Instant Hydration",₹319.00,"6,082",N/A,"NIVEA Soft Light Moisturizer, 300 ml, for Face, Hand & Body, Non-Greasy Cream with Vitamin E & Jojoba Oil for Instant Hydration",Beauty
